iter	Passed	Remaining
666	1126	562
667	1127	560
668	1128	558
669	1130	556
670	1131	554
671	1132	552
672	1133	550
673	1135	549
674	1136	547
675	1138	545
676	1139	543
677	1140	541
678	1141	539
679	1143	537
680	1144	536
681	1145	534
682	1146	532
683	1148	530
684	1149	528
685	1151	526
686	1152	525
687	1153	523
688	1155	521
689	1156	519
690	1157	517
691	1159	515
692	1160	514
693	1161	512
694	1163	510
695	1164	508
696	1166	506
697	1167	505
698	1168	503
699	1169	501
700	1171	499
701	1172	497
702	1173	495
703	1175	494
704	1176	492
705	1177	490
706	1178	488
707	1180	486
708	1181	485
709	1182	483
710	1184	481
711	1185	479
712	1187	477
713	1188	476
714	1189	474
715	1190	472
716	1191	470
717	1193	468
718	1194	466
719	1196	465
720	1197	463
721	1199	461
722	1200	460
723	1202	458
724	1203	456
725	1204	454
726	1206	452
727	1207	451
728	1208	449
729	1209	447
730	1211	445
731	1212	443
732	1213	442
733	1215	440
734	1216	438
735	1217	436
736	1218	434
737	1220	433
738	1221	431
739	1222	429
740	1223	427
741	1225	425
742	1226	424
743	1227	422
744	1228	420
745	1230	418
746	1231	417
747	1232	415
748	1234	413
749	1235	411
750	1236	409
751	1237	408
752	1239	406
753	1240	404
754	1241	402
755	1242	401
756	1244	399
757	1245	397
758	1246	395
759	1247	394
760	1248	392
761	1250	390
762	1251	388
763	1252	386
764	1254	385
765	1255	383
766	1256	381
767	1257	379
768	1258	378
769	1259	376
770	1261	374
771	1262	372
772	1263	371
773	1264	369
774	1266	367
775	1267	365
776	1268	364
777	1269	362
778	1270	360
779	1272	358
780	1273	357
781	1274	355
782	1275	353
783	1276	351
784	1277	350
785	1279	348
786	1280	346
787	1281	344
788	1282	343
789	1284	341
790	1285	339
791	1286	337
792	1287	336
793	1289	334
794	1290	332
795	1291	331
796	1292	329
797	1294	327
798	1295	325
799	1296	324
800	1297	322
801	1299	320
802	1300	318
803	1301	317
804	1302	315
805	1304	313
806	1305	312
807	1306	310
808	1307	308
809	1309	307
810	1310	305
811	1311	303
812	1312	301
813	1314	300
814	1315	298
815	1316	296
816	1317	295
817	1318	293
818	1320	291
819	1321	290
820	1323	288
821	1324	286
822	1325	285
823	1327	283
824	1328	281
825	1329	280
826	1331	278
827	1332	276
828	1333	275
829	1334	273
830	1335	271
831	1337	270
832	1338	268
833	1339	266
834	1340	264
835	1342	263
836	1343	261
837	1344	259
838	1346	258
839	1347	256
840	1348	254
841	1349	253
842	1350	251
843	1351	249
844	1353	248
845	1354	246
846	1355	244
847	1356	243
848	1358	241
849	1359	239
850	1360	238
851	1361	236
852	1362	234
853	1364	233
854	1365	231
855	1366	229
856	1368	228
857	1369	226
858	1370	224
859	1372	223
860	1373	221
861	1374	220
862	1375	218
863	1376	216
864	1378	215
865	1379	213
866	1380	211
867	1382	210
868	1383	208
869	1384	206
870	1385	205
871	1387	203
872	1388	201
873	1389	200
874	1390	198
875	1391	197
876	1393	195
877	1394	193
878	1396	192
879	1397	190
880	1398	188
881	1399	187
882	1401	185
883	1402	184
884	1403	182
885	1404	180
886	1405	179
887	1407	177
888	1408	175
889	1409	174
890	1411	172
891	1412	170
892	1413	169
893	1414	167
894	1415	166
895	1417	164
896	1418	162
897	1419	161
898	1420	159
899	1422	158
900	1423	156
901	1424	154
902	1426	153
903	1427	151
904	1428	149
905	1429	148
906	1431	146
907	1432	145
908	1433	143
909	1434	141
910	1435	140
911	1437	138
912	1438	137
913	1439	135
914	1440	133
915	1442	132
916	1443	130
917	1444	129
918	1445	127
919	1447	125
920	1448	124
921	1449	122
922	1451	121
923	1452	119
924	1454	117
925	1455	116
926	1456	114
927	1457	113
928	1459	111
929	1460	109
930	1461	108
931	1462	106
932	1464	105
933	1465	103
934	1466	101
935	1467	100
936	1469	98
937	1470	97
938	1471	95
939	1472	94
940	1474	92
941	1475	90
942	1476	89
943	1477	87
944	1479	86
945	1480	84
946	1482	82
947	1483	81
948	1484	79
949	1486	78
950	1487	76
951	1488	75
952	1490	73
953	1491	71
954	1492	70
955	1493	68
956	1495	67
957	1496	65
958	1497	64
959	1498	62
960	1500	60
961	1501	59
962	1502	57
963	1504	56
964	1505	54
965	1507	53
966	1508	51
967	1510	49
968	1511	48
969	1513	46
970	1514	45
971	1515	43
972	1516	42
973	1518	40
974	1519	38
975	1520	37
976	1521	35
977	1523	34
978	1524	32
979	1525	31
980	1526	29
981	1528	28
982	1529	26
983	1530	24
984	1531	23
985	1533	21
986	1534	20
987	1535	18
988	1536	17
989	1537	15
990	1539	13
991	1541	12
992	1542	10
993	1543	9
994	1544	7
995	1546	6
996	1548	4
997	1549	3
998	1551	1
999	1552	0
